"ProcessId";"ProcessName";"HostProcess";"MemoryMB";"FileVersion";"ExecutablePath";"Parameters";"StartTime"
"15404";"msedgewebview2";"SearchHost.exe";"36,46";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=SearchHost.exe";"2025-11-12 09:12:00"
"13604";"msedgewebview2";"OneDrive.exe";"35,61";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=OneDrive.exe";"2025-11-12 09:14:04"
"4776";"msedgewebview2";"OneDrive.exe";"31,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=OneDrive.exe";"2025-11-12 09:14:04"
"29740";"msedgewebview2";"ms-teams.exe";"27,64";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=ms-teams.exe";"2025-11-12 10:52:46"
"9460";"msedgewebview2";"M365Copilot.exe";"25,11";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=M365Copilot.exe";"2025-11-12 09:14:41"
"21572";"msedgewebview2";"WhatsApp.Root.exe";"24,14";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=WhatsApp.Root.exe";"2025-11-12 09:15:08"
"26556";"msedgewebview2";"OUTLOOK.EXE";"21,58";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=OUTLOOK.EXE";"2025-11-12 09:34:58"
"10272";"msedgewebview2";"CaseBuddyApp.exe";"20,53";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=CaseBuddyApp.exe";"2025-11-12 13:30:30"
"10212";"msedgewebview2";"WidgetBoard.exe";"20,3";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=WidgetBoard.exe";"2025-11-12 09:30:16"
"15232";"msedgewebview2";"WidgetBoard.exe";"20,08";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=WidgetBoard.exe";"2025-11-12 09:13:02"
"15476";"msedgewebview2";"SearchHost.exe";"18,67";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=SearchHost.exe";"2025-11-12 09:12:00"
"11696";"msedgewebview2";"OneDrive.exe";"17,88";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=OneDrive.exe";"2025-11-12 09:14:04"
"28188";"msedgewebview2";"ms-teams.exe";"16,6";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=ms-teams.exe";"2025-11-12 10:52:06"
"21556";"msedgewebview2";"WhatsApp.Root.exe";"11,86";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=gpu-process --webview-exe-name=WhatsApp.Root.exe";"2025-11-12 09:15:08"
"32188";"msedgewebview2";"ms-teams.exe";"9,86";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=gpu-process --webview-exe-name=ms-teams.exe";"2025-11-12 10:52:06"
"30348";"msedgewebview2";"[Not specified]";"9,56";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 13:30:30"
"6660";"msedgewebview2";"M365Copilot.exe";"9,26";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=M365Copilot.exe";"2025-11-12 09:14:41"
"3616";"msedgewebview2";"[Not specified]";"9,14";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 09:14:04"
"31032";"msedgewebview2";"[Not specified]";"8,86";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 10:52:06"
"14248";"msedgewebview2";"[Not specified]";"8,77";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 09:15:08"
"26308";"msedgewebview2";"[Not specified]";"8,75";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 09:34:57"
"19780";"msedgewebview2";"[Not specified]";"8,71";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 09:13:02"
"7392";"msedgewebview2";"[Not specified]";"8,71";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 09:14:41"
"15216";"msedgewebview2";"[Not specified]";"8,45";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=crashpad-handler";"2025-11-12 09:12:00"
"21632";"msedgewebview2";"WhatsApp.Root.exe";"6,2";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=WhatsApp.Root.exe";"2025-11-12 09:15:08"
"21056";"msedgewebview2";"ms-teams.exe";"4,86";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=ms-teams.exe";"2025-11-12 10:52:06"
"32524";"msedgewebview2";"ms-teams.exe";"1,78";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=utility --webview-exe-name=ms-teams.exe";"2025-11-12 10:52:19"
