"ProcessId";"HostProcess";"Type";"MemoryMB";"FileVersion";"ExecutablePath";"StartTime"
"15552";"SearchHost.exe";"renderer";"94,21";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"8632";"WhatsApp.Root.exe";"";"81,42";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:08"
"9040";"M365Copilot.exe";"";"75,78";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"18976";"CaseBuddyApp.exe";"gpu-process";"69,37";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"2852";"SearchHost.exe";"gpu-process";"68,61";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"23300";"WhatsApp.Root.exe";"renderer";"67,93";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 14:27:54"
"16072";"ms-teams.exe";"renderer";"66,77";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:07"
"27244";"OUTLOOK.EXE";"renderer";"63,43";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:35:19"
"26504";"OUTLOOK.EXE";"gpu-process";"62,68";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:34:58"
"29504";"OUTLOOK.EXE";"renderer";"60,41";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:35:09"
"28764";"CaseBuddyApp.exe";"renderer";"48,82";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"2364";"OneDrive.exe";"gpu-process";"46,88";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"33432";"ms-teams.exe";"";"45,2";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:06"
"26524";"OUTLOOK.EXE";"utility";"42,82";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:34:58"
"7308";"OneDrive.exe";"renderer";"41,82";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"9112";"WidgetBoard.exe";"utility";"38,85";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"468";"CaseBuddyApp.exe";"utility";"36,9";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"19448";"WidgetBoard.exe";"renderer";"36,78";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:03"
"15404";"SearchHost.exe";"utility";"36,46";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"13604";"OneDrive.exe";"renderer";"35,61";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"4776";"OneDrive.exe";"utility";"31,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"9460";"M365Copilot.exe";"utility";"25,09";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"21572";"WhatsApp.Root.exe";"utility";"24,2";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:08"
"26556";"OUTLOOK.EXE";"utility";"21,88";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:34:58"
"10272";"CaseBuddyApp.exe";"utility";"20,55";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"10212";"WidgetBoard.exe";"utility";"20,3";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:30:16"
"15232";"WidgetBoard.exe";"utility";"20,07";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"15476";"SearchHost.exe";"utility";"18,66";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"11696";"OneDrive.exe";"utility";"17,88";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"29740";"ms-teams.exe";"renderer";"14,42";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:46"
"21556";"WhatsApp.Root.exe";"gpu-process";"11,87";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:08"
"28188";"ms-teams.exe";"utility";"9,89";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:06"
"30348";"[Not specified]";"crashpad-handler";"9,56";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"6660";"M365Copilot.exe";"utility";"9,19";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"3616";"[Not specified]";"crashpad-handler";"9,14";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"31032";"[Not specified]";"crashpad-handler";"8,86";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:06"
"26308";"[Not specified]";"crashpad-handler";"8,77";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:34:57"
"14248";"[Not specified]";"crashpad-handler";"8,75";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:08"
"19780";"[Not specified]";"crashpad-handler";"8,71";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"7392";"[Not specified]";"crashpad-handler";"8,71";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"15216";"[Not specified]";"crashpad-handler";"8,45";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"21632";"WhatsApp.Root.exe";"utility";"6,2";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:08"
"32188";"ms-teams.exe";"gpu-process";"4,65";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:06"
"32524";"ms-teams.exe";"utility";"1,75";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:19"
"21056";"ms-teams.exe";"utility";"1,5";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:06"
